0|EAC4468893_1|1|1|emrC_Lis|emrC_Lis||1|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|multidrug_efflux_transporter_outer_membrane_subunit_EmrC	QUATERNARY AMMONIUM
0|EGO5141043_1|1|1|arsR_LGI2_1|arsR_LGI2_1||1|ARSENITE|ARSENIC|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR	STRESS
0|MBO4175406_1|1|1|mcr-9_2|mcr-9||1|COLISTIN|COLISTIN|phosphoethanolamine--lipid_A_transferase_MCR-9_2	COLISTIN
0|MBY0597968_1|1|1|entFM|entFM||1|||enterotoxin_EntFM	VIRULENCE
0|NDR16746_1|1|1|sel27|sel27||1|||staphylococcal_enterotoxin_type_27	VIRULENCE
0|NDR16747_1|1|1|sel28|sel28||1|||staphylococcal_enterotoxin_type_28	VIRULENCE
1000903631|WP_061154665_1|1|1|blaLEN-42|blaLEN|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_LEN-42	BETA-LACTAM
1000909371|WP_061158039_1|1|1|blaTEM-156|blaTEM|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_TEM-156	BETA-LACTAM
1001043515|WP_061189306_1|1|1|blaPDC-114|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-114	BETA-LACTAM
1001044756|WP_061190338_1|1|1|blaPDC-226|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-226	BETA-LACTAM
1001048246|WP_061193023_1|1|1|blaPDC-116|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-116	BETA-LACTAM
1001048721|WP_061193431_1|1|1|blaPDC-298|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-298	BETA-LACTAM
1001056857|WP_061196139_1|1|1|blaPDC-97|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-97	BETA-LACTAM
1001067679|WP_061199990_1|1|1|blaPDC-184|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-184	BETA-LACTAM
100173053|ABF69110_1|1|1|beta-4|beta-4||1|KAPPA|INTIMIN|intimin_type_kappa	VIRULENCE
100173067|ABF69117_1|1|1|epsilon-7|epsilon-7||1|XI|INTIMIN|intimin_type_xi	VIRULENCE
100173075|ABF69121_1|1|1|epsilon-2|epsilon-2||1|EPSILON|INTIMIN|intimin_type_epsilon	VIRULENCE
100173077|ABF69122_1|1|1|alpha-5|alpha-5||1|NU|INTIMIN|intimin_type_nu	VIRULENCE
1001733947|WP_061284984_1|1|1|blaKLUC-1|blaKLUC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_KLUC-1	BETA-LACTAM
1001891729|WP_061345584_1|1|1|cml_Ochro|cml_Ochro|efflux|2|CHLORAMPHENICOL|PHENICOL|Cml_family_chloramphenicol_efflux_MFS_transporter	PHENICOL
1002390465|WP_061377147_1|1|1|fosA7_6|fosA7_fam|thiol_transferase|2|FOSFOMYCIN|FOSFOMYCIN|fosfomycin_resistance_glutathione_transferase_FosA7_6	FOSFOMYCIN
1004662893|WP_061547590_1|1|1|blaCMY-84|blaCMY|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_CMY-84	BETA-LACTAM
1005295249|WP_061586512_1|1|1|qnrE1|qnrE||2|QUINOLONE|QUINOLONE|quinolone_resistance_pentapeptide_repeat_protein_QnrE1	QUINOLONE
1005563843|WP_061659705_1|1|1|blaTEM-95|blaTEM|hydrolase|2|BETA-LACTAM|BETA-LACTAM|broad-spectrum_class_A_beta-lactamase_TEM-95	BETA-LACTAM
1005757004|WP_061710074_1|1|1|blaRAA-1|blaRAA|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_beta-lactamase_RAA-1	BETA-LACTAM
1011934720|WP_062743204_1|1|1|blaERP-1|blaERP|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_A_beta-lactamase_ERP-1	BETA-LACTAM
1011965783|WP_062771895_1|1|1|blaDHA-22|blaDHA|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_DHA-22	BETA-LACTAM
1014394093|KYU89760_1|1|1|subB|subB||1|||subtilase_AB5_cytotoxin_subunit_B	VIRULENCE
1016519580|WP_063099318_1|1|1|blaADC-151|blaADC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|extended-spectrum_class_C_beta-lactamase_ADC-151	BETA-LACTAM
1016534988|WP_063108644_1|1|1|blaCTX-M-140|blaCTX-M|hydrolase|2|||extended-spectrum_class_A_beta-lactamase_CTX-M-140	BETA-LACTAM
1016879253|WP_063131934_1|1|1|blaOXA-163|blaOXA-48_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-48_family_extended-spectrum_class_D_beta-lactamase_OXA-163	BETA-LACTAM
1016936072|WP_063138000_1|1|1|blaACT-14|blaACT|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-14	BETA-LACTAM
1016945748|WP_063147148_1|1|1|blaACT-67|blaACT|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-67	BETA-LACTAM
1016956853|WP_063157039_1|1|1|blaACT-109|blaACT|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_ACT-109	BETA-LACTAM
1020271597|WP_063266839_1|1|1|blaLEN-25|blaLEN|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_LEN-25	BETA-LACTAM
1020306411|WP_063277905_1|1|1|fosA8|fosA8_fam|thiol_transferase|2|FOSFOMYCIN|FOSFOMYCIN|fosfomycin_resistance_glutathione_transferase_FosA8	FOSFOMYCIN
1022648640|WP_063406924_1|1|1|CMY2-MIR-ACT-EC|CMY2-MIR-ACT-EC|hydrolase|2|BETA-LACTAM|BETA-LACTAM|CMY2_MIR_ACT_EC_family_class_C_beta-lactamase	BETA-LACTAM
1022660303|WP_063417273_1|1|1|blaMIR-15|blaMIR|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|cephalosporin-hydrolyzing_class_C_beta-lactamase_MIR-15	BETA-LACTAM
